DailyPcode,InstantPcode,Equation,siteFilter,,,
AF,AF,DailyMidnight(instant_%site%_af),,,,af
GJ,CH,DailyAverage(instant_%site%_ch),responsibility='IDWR',,,
PE,EH,DailyChange(instant_%site%_eh),,,,
FB,FB,DailyMidnight(instant_%site%_fb),,,,
MM,OB,DailyAverage(instant_%site%_ob),,,,
MX,OB,DailyMax(instant_%site%_ob),,,,
MN,OB,DailyMin(instant_%site%_ob),,,,
PC,PC,DailyMidnight(instant_%site%_pc),,,,
PP,PC,daily_%site%_pc-daily_%site%_pc[t-1],,,,
QD,Q,DailyAverage(instant_%site%_q),siteid not in ('gcl'),,,
QX,Q,DailyMax(instant_%site%_q),"siteid in ('cfmm','anaw','hcdi','hghm')",,,
QRD,QR,DailyAverage(instant_%site%_qr),,,,
QSD,QS,DailyAverage(instant_%site%_qs),,,,
QJ,QC,DailyAverage(instant_%site%_qc),,,,
QT,QT,DailyAverage(instant_%site%_qt),,,,
RBD,RB,DailyAverage(instant_%site%_rb),,,,
SP,SP,DailyMidnight(instant_%site%_sp),,,,
UD,WD,DailyAzimuth(instant_%site%_wd),,,,
WY,WC,DailyAverage(instant_%site%_wc),"siteid in ('gcgw','hghm','capo','prvo','cibw','mcfo','pdto','mcko','myko','yoko','umuo','ummo','umso','umto','umao')",,,
WZ,WF,DailyAverage(instant_%site%_wf),"siteid in ('gcgw','hghm','capo','prvo','cibw','mcfo','pdto','mcko','myko','yoko','umuo','ummo','umso','umto','umao')",,,
WM,WC,DailyMax(instant_%site%_wc),"siteid in ('gcgw','hghm','capo','prvo','cibw','mcfo','pdto','mcko','myko','yoko','umuo','ummo','umso','umto','umao')",,,
WI,WF,DailyMin(instant_%site%_wf),"siteid in ('gcgw','hghm','capo','prvo','cibw','mcfo','pdto','mcko','myko','yoko','umuo','ummo','umso','umto','umao')",,,
WN,WC,DailyMin(instant_%site%_wc),"siteid in ('gcgw','hghm','capo','prvo','cibw','mcfo','pdto','mcko','myko','yoko','umuo','ummo','umso','umto','umao')",,,
WK,WF,DailyMax(instant_%site%_wf),"siteid in ('gcgw','hghm','capo','prvo','cibw','mcfo','pdto','mcko','myko','yoko','umuo','ummo','umso','umto','umao')",,,
XQD,XQ,DailyAverage(instant_%site%_xq),,,,
QE,QE,DailyAverage(instant_%site%_qe),siteid in ('mhpi'),,,
QZ,QZ,DailyAverage(instant_%site%_qz),siteid in ('mhpi'),,,
BH,BH,DailyAverage(instant_%site%_bh),,,,
NT,NT,DailyAverage(instant_%site%_nt),,,,
NTX,NT,DailyMax(instant_%site%_nt),,,,
NTN,NT,DailyMin(instant_%site%_nt),,,,
YR,YR,DailyAverage(instant_%site%_yr),,,,
YRX,YR,DailyMax(instant_%site%_yr),,,,
YRN,Yr,DailyMin(instant_%site%_yr),,,,
