RESERVOIR,MAX CAPACITY (AF),Flood Control with fcplot
KAC,239000,y
CLE,436900,y
KEE,157800,y
BUM,33970,y
RIM,198000,y
SCO,53323,y
MCK,65534,y
CLS,38000,n
CRA,55300,n
CRE,86900,n
HAY,5600,n
OCH,44247,y
PRV,148640,y
WIC,200000,n
BEU,59900,y
BUL,23676,y
OWY,715000,y
PHL,73000,y
THF,13307,y
UNY,25200,y
WAR,169639,y
AND,413100,y
ARK,272200,y
CSC,264400,y
DED,153992,y
EMM,10900,n
LOW,159365,n
LUC,264400,y
AMF,1672590,y
GRS,15180,n
HEN,90000,n
ISL,135205,y
JCK,847000,y
MIL,38000,n
MIN,95180,n
PAL,1200000,y
RIR,80540,y
HGH,3467179,y
GCL,5185000,n
AGA,4670,n
EMI,39000,y
FIS,7836,n
FOR,15600,n
HPD,60600,n
HYA,16200,n
