siteid,name,parameters
BUM,BUMPING RESERVOIR RIVER AND WEATHER STATION,"GD,HJ,QD"
CHCW,CHANDLER - PROSSER POWER CANAL,"GJ,HH,QJ"
CLE,"CLE ELUM RESERVOIR,RIVER AND WEATHER STATION","GD,HJ,QD"
EASW,YAKIMA RIVER AT EASTON WA.,"GD,HJ,QD"
ETCW,Ellensburg Town Canal,"GJ,HH,QJ"
KAC,"KACHESS RESERVOIR,RIVER AND WEATHER STATION","GD,HJ,QD"
KEE,KEECHELUS RESERVOIR-YAK AT MARTIN AND WEATHER STA.,"GD,HJ,QD"
KNCW,KENNEWICK CANAL,"GJ,HH,QJ"
KTCW,KITTITAS CANAL,"GJ,HH,QJ"
NACW,"NACHES RIVER NEAR NACHES,WA.","GD,HJ,QD"
NSCW,NACHES SELAH CANAL,"GJ,HH,QJ"
PARW,"YAKIMA RIVER NEAR PARKER, WA.","GD,HJ,QD"
RBDW,YAKIMA RIVER BELOW ROZA DAM,"GD,HJ,QD"
RIM,"RIMROCK RESERVOIR,TIETON RIVER AND WEATHER STATION","GD,HJ,QD"
ROZW,ROZA CANAL AT 11.0 MILE,"GJ,HH,QJ"
RSCW,NEW RESERVATION CANAL,"GJ,HH,QJ"
RZCW,ROZA CANAL AT HEADWORKS,"GJ,HH,QJ"
SNCW,SUNNYSIDE CANAL,"GJ,HH,QJ"
TIEW,TIETON CANAL,"GJ,HH,QJ"
TNAW,"TEANAWAY RIVER AT FORKS NEAR CLE ELUM, WA","GD,HJ,QD"
WESW,WESTSIDE CANAL,"GJ,HH,QJ"
WOPW,WAPATOX POWER CANAL,"GJ,HH,QJ"
YRPW,"YAKIMA RIVER NEAR PROSSER ,WA.","GD,HJ,QD"
YRWW,"YAKIMA RIVER NEAR HORLICK ,WA.","GD,HJ,QD"
YUMW,"YAKIMA RIVER AT CLE ELUM , WA.","GD,HJ,QD"
